AutoCode,SName,Item,Cuisine,Deptt,Rate,Tax,Trackable,Recipie Code,Liquor,Discountable,Category,Genre,Discontinued,GROUPS,SECSTK,RW_SSTK_ACD,PEG TYPE,LARGE,TAXABLE,FORCEQTY,QTY,TQTY,SELL_UOM,UOM_ACODE,ROLLBACK,DECIMAL,PRODUCTION,PROD_QTY,PROD_UOM,PROD_CONV,SRVTAX,BARCODE,PUR_ITEM,PUR_UOM,PUR_CONV,OPG_STK,ASK_RATE,ENB_SHELF_LIFE,SL_VALUE,SL_DURATION,SL_DAYS,BATCH_TYPE,ROLLBK_PRD,DLV_RATE,OPG_STK_LOC,RCP_ACTIVE,CESS_PERC,ICON_IDX,USE_ALT_NAME,ALT_NAME,MIN_LEVEL
13,"0013","Chilly Cheese",0,"K",2.8000000000000000e+02,0.0000000000000000e+00,0,0,0,1,"STARTERS",,0,,0,0,0,0,0,0,0.0000000000000000e+00,0.0000000000000000e+00,"PCS",,0,0,0,0.0000000000000000e+00,,,0,,0,,1.0000000000000000e+00,,0,0,0,,,0,0,,-1,0,0.0000000000000000e+00,,0,,
14,"0014","Chicken In Garlic Sauce",0,"K",3.2000000000000000e+02,0.0000000000000000e+00,0,0,0,1,"STARTERS",,0,,0,0,0,0,0,0,0.0000000000000000e+00,0.0000000000000000e+00,"PCS",,0,0,0,0.0000000000000000e+00,,,0,,0,,1.0000000000000000e+00,,0,0,0,,,0,0,,-1,0,0.0000000000000000e+00,,0,,
15,"0015","Herb Chilly Potato Burger",0,"K",9.0000000000000000e+01,0.0000000000000000e+00,0,0,0,1,"BURGERS & HOT D",,0,,0,0,0,0,0,0,0.0000000000000000e+00,0.0000000000000000e+00,"PCS",,0,0,0,0.0000000000000000e+00,,,0,,0,,1.0000000000000000e+00,,0,0,0,,,0,0,,-1,0,0.0000000000000000e+00,,0,,
16,"0016","Spicy Paneer Burger",0,"K",1.2000000000000000e+02,0.0000000000000000e+00,0,0,0,1,"BURGERS & HOT D",,0,,0,0,0,0,0,0,0.0000000000000000e+00,0.0000000000000000e+00,"PCS",,0,0,0,0.0000000000000000e+00,,,0,,0,,1.0000000000000000e+00,,0,0,0,,,0,0,,-1,0,0.0000000000000000e+00,,0,,
17,"0017","Chicken Burger",0,"K",1.3000000000000000e+02,0.0000000000000000e+00,0,0,0,1,"BURGERS & HOT D",,0,,0,0,0,0,0,0,0.0000000000000000e+00,0.0000000000000000e+00,"PCS",,0,0,0,0.0000000000000000e+00,,,0,,0,,1.0000000000000000e+00,,0,0,0,,,0,0,,-1,0,0.0000000000000000e+00,,0,,
18,"0018","Egg Salami Burger",0,"K",1.6000000000000000e+02,0.0000000000000000e+00,0,0,0,1,"BURGERS & HOT D",,0,,0,0,0,0,0,0,0.0000000000000000e+00,0.0000000000000000e+00,"PCS",,0,0,0,0.0000000000000000e+00,,,0,,0,,1.0000000000000000e+00,,0,0,0,,,0,0,,-1,0,0.0000000000000000e+00,,0,,
19,"0019","Chicken Ham Burger",0,"K",1.8000000000000000e+02,0.0000000000000000e+00,0,0,0,1,"BURGERS & HOT D",,0,,0,0,0,0,0,0,0.0000000000000000e+00,0.0000000000000000e+00,"PCS",,0,0,0,0.0000000000000000e+00,,,0,,0,,1.0000000000000000e+00,,0,0,0,,,0,0,,-1,0,0.0000000000000000e+00,,0,,
20,"0020","Chicken Becon Burger",0,"K",1.8000000000000000e+02,0.0000000000000000e+00,0,0,0,1,"BURGERS & HOT D",,0,,0,0,0,0,0,0,0.0000000000000000e+00,0.0000000000000000e+00,"PCS",,0,0,0,0.0000000000000000e+00,,,0,,0,,1.0000000000000000e+00,,0,0,0,,,0,0,,-1,0,0.0000000000000000e+00,,0,,
21,"0021","Loaded Chicken Burger",0,"K",3.2000000000000000e+02,0.0000000000000000e+00,0,0,0,1,"BURGERS & HOT D",,0,,0,0,0,0,0,0,0.0000000000000000e+00,0.0000000000000000e+00,"PCS",,0,0,0,0.0000000000000000e+00,,,0,,0,,1.0000000000000000e+00,,0,0,0,,,0,0,,-1,0,0.0000000000000000e+00,,0,,
43,"0043","Margrita Pizza (Large)",0,"K",2.6000000000000000e+02,0.0000000000000000e+00,0,0,0,1,"PIZZAS",,0,,0,0,0,0,0,0,0.0000000000000000e+00,0.0000000000000000e+00,"PCS",,0,0,0,0.0000000000000000e+00,,,0,,0,,1.0000000000000000e+00,,0,0,0,,,0,0,,-1,0,0.0000000000000000e+00,,0,,
44,"0044","Farm House Pizza (Large)",0,"K",4.5000000000000000e+02,0.0000000000000000e+00,0,0,0,1,"PIZZAS",,0,,0,0,0,0,0,0,0.0000000000000000e+00,0.0000000000000000e+00,"PCS",,0,0,0,0.0000000000000000e+00,,,0,,0,,1.0000000000000000e+00,,0,0,0,,,0,0,,-1,0,0.0000000000000000e+00,,0,,
45,"0045","Indi Paneer Tikka Pizza (Large)",0,"K",4.0000000000000000e+02,0.0000000000000000e+00,0,0,0,1,"PIZZAS",,0,,0,0,0,0,0,0,0.0000000000000000e+00,0.0000000000000000e+00,"PCS",,0,0,0,0.0000000000000000e+00,,,0,,0,,1.0000000000000000e+00,,0,0,0,,,0,0,,-1,0,0.0000000000000000e+00,,0,,
46,"0046","Mushroom And Corn Pizza (Large)",0,"K",3.6000000000000000e+02,0.0000000000000000e+00,0,0,0,1,"PIZZAS",,0,,0,0,0,0,0,0,0.0000000000000000e+00,0.0000000000000000e+00,"PCS",,0,0,0,0.0000000000000000e+00,,,0,,0,,1.0000000000000000e+00,,0,0,0,,,0,0,,-1,0,0.0000000000000000e+00,,0,,
47,"48","Peri Peri Paneer Tikka And Veg (L)",0,"K",3.7000000000000000e+02,0.0000000000000000e+00,0,0,0,1,"PIZZAS",,0,,0,0,0,0,0,0,0.0000000000000000e+00,0.0000000000000000e+00,"PCS",,0,0,0,0.0000000000000000e+00,,,0,,0,,1.0000000000000000e+00,,0,0,0,,,0,0,,-1,0,0.0000000000000000e+00,,0,,
48,"0048","Classic Chicken Pepperoni (Large)",0,"K",3.2000000000000000e+02,0.0000000000000000e+00,0,0,0,1,"PIZZAS",,0,,0,0,0,0,0,0,0.0000000000000000e+00,0.0000000000000000e+00,"PCS",,0,0,0,0.0000000000000000e+00,,,0,,0,,1.0000000000000000e+00,,0,0,0,,,0,0,,-1,0,0.0000000000000000e+00,,0,,
